Protein IDs	Peptides	Razor + unique peptides	Unique peptides	Score	Intensity	LFQ intensity KES1	LFQ intensity KES2	LFQ intensity KES3	LFQ intensity PBS1	LFQ intensity PBS2	LFQ intensity PBS3	LFQ intensity W1	LFQ intensity W2	LFQ intensity W3	Only identified by site	Reverse	Potential contaminant	id
160502038-stool1_revised_scaffold17672_1_gene128253;T2D-65A_GL0009732;T2D-135A_GL0048397;MH0267_GL0086056	6	2	1	0.0	26045300	6101600	6918100	7733400	0	1269100	1091600	0	1641600	1289900				284
160502038-stool1_revised_scaffold27245_1_gene99702;V1.CD32-0_GL0089083;V1.CD53-0_GL0012739;O2.CD3-0-PT_GL0024193;V1.UC55-0_GL0165429;DOF006_GL0058230;O2.UC14-1_GL0110955;MH0006_GL0217568;MH0402_GL0150347;158499257-stool2_revised_C1205194_1_gene186122;V1.FI37_GL0022002;MH0415_GL0231004;MH0438_GL0085532;V1.UC51-4_GL0139142;DOF010_GL0022702;O2.UC35-2_GL0138305;763860675-stool1_revised_scaffold40859_1_gene24401;O2.UC12-2_GL0118673;MH0188_GL0174178	45	45	5	0.0	2147483647	359090000	498060000	410190000	235680000	242180000	238130000	227580000	248890000	228620000				285
160502038-stool1_revised_scaffold30632_1_gene126054;160502038-stool1_revised_scaffold10230_1_gene190661	31	4	0	0.0	149940000	14154000	22537000	11842000	14925000	17731000	15841000	16052000	17711000	19147000				286
160502038-stool1_revised_scaffold30959_1_gene20417	4	2	0	0.0	53993700	0	0	0	7351100	9465800	14377000	11181000	6179500	5439300				287
MH0078_GL0004018;MH0063_GL0024146;160502038-stool1_revised_scaffold50758_1_gene18327;MH0030_GL0029211;MH0357_GL0020833;MH0057_GL0045168;MH0006_GL0011469;T2D-107A_GL0037837;MH0163_GL0008206;MH0018_GL0005451	5	3	1	0.0	291377000	69922000	19635000	114190000	16709000	13271000	12318000	21661000	13218000	10453000				288
O2.UC6-0_GL0082980;O2.UC32-0_GL0046151;160502038-stool1_revised_scaffold50851_3_gene177478;NOM009_GL0104721;V1.FI22_GL0092173;V1.CD8-0-PN_GL0152402;O2.UC8-1_GL0158539;MH0450_GL0167455;MH0432_GL0004902;HT8A_GL0002435;ED12A_GL0089476;DLM013_GL0042809;V1.FI25_GL0097104;V1.CD36-0_GL0108051;V1.FI02_GL0023939;O2.UC17-1_GL0116545;MH0399_GL0110837;V1.FI37_GL0006906;411903.COLAER_00895;MH0322_GL0004696;V1.FI33_GL0120894;SZEY-39A_GL0008550;MH0393_GL0115776;DLF009_GL0014137;V1.CD34-0_GL0096819;MH0347_GL0038720;MH0189_GL0148999;O2.UC9-1_GL0001615;O2.UC47-1_GL0179020;O2.UC28-2_GL0107017;MH0280_GL0140429;V1.UC17-2_GL0142179;O2.UC3-1_GL0051916;O2.UC21-2_GL0086997;O2.UC44-2_GL0148845;MH0071_GL0041495	4	4	1	0.0	50146700	10066000	8228700	11074000	4593300	5438400	5222400	0	2602100	2921800				289
160502038-stool1_revised_scaffold51133_3_gene85836;BGI-33A_GL0075121;V1.FI34_GL0128963;HT25A_GL0040668;T2D-66A_GL0028959;MH0203_GL0006551;V1.CD12-3_GL0038242;DLM013_GL0096422;V1.UC26-0_GL0040716;T2D-68A_GL0006653;MH0222_GL0201430;V1.UC14-1_GL0098323;MH0262_GL0152967;O2.UC24-2_GL0069900;MH0318_GL0092765;V1.FI14_GL0105422;O2.UC48-1_GL0031812;MH0212_GL0022227;MH0454_GL0118799;MH0014_GL0073935;V1.FI17_GL0190610;DLM013_GL0053695;V1.FI25_GL0137877;O2.UC48-0_GL0170319;V1.FI05_GL0012029;V1.CD43-0_GL0147769;O2.UC58-2_GL0140692;O2.UC58-0_GL0071463;V1.UC44-0_GL0012764;V1.UC24-0_GL0125816;O2.UC30-1_GL0094663;158944319-stool1_revised_C932409_1_gene35251;V1.UC13-3_GL0059581;MH0377_GL0107543;O2.UC7-0_GL0125683;MH0125_GL0006976;V1.UC60-0_GL0061783;T2D-42A_GL0056411;NOM026_GL0084597;MH0326_GL0032793;O2.UC27-2_GL0013685;MH0386_GL0078604;MH0292_GL0048096;MH0239_GL0122407;MH0233_GL0047061;O2.UC48-1_GL0160955;MH0367_GL0096393;V1.UC40-1_GL0108981;T2D-47A_GL0115996;O2.UC24-1_GL0076870;MH0303_GL0198789;V1.UC11-5_GL0180370;V1.FI17_GL0205999;MH0260_GL0049703;DLM013_GL0100347;MH0379_GL0125085;MH0431_GL0063344;MH0260_GL0109401;MH0234_GL0064857;158499257-stool2_revised_scaffold37204_1_gene84824;763577454-stool1_revised_scaffold23380_1_gene42159;O2.UC57-0_GL0113001;MH0086_GL0050935;O2.UC46-1_GL0021362;MH0433_GL0158587;MH0322_GL0077785;MH0281_GL0101056;604812005-stool2_revised_scaffold518_1_gene26976;MH0454_GL0074955;MH0286_GL0151081;T2D-47A_GL0069440;158944319-stool1_revised_C949179_1_gene46860;MH0348_GL0025015;O2.CD3-0-PT_GL0125631;MH0239_GL0045830;N083A_GL0077113;T2D-68A_GL0095915;MH0159_GL0033274;763496533-stool1_revised_C1159497_1_gene146207;V1.FI01_GL0138016;MH0370_GL0113473;MH0288_GL0124961;MH0272_GL0159807;V1.UC50-1_GL0058293;MH0197_GL0168869;V1.UC13-3_GL0030202;MH0188_GL0193288;MH0008_GL0010478;MH0318_GL0036111;MH0318_GL0067406;MH0432_GL0040161;ED12A_GL0025264;O2.UC32-2_GL0027439;MH0096_GL0015290;V1.CD40-0_GL0027492;MH0389_GL0094925;MH0385_GL0022659;MH0195_GL0002500;MH0286_GL0136569;MH0447_GL0197773;MH0367_GL0034278;V1.UC39-0_GL0045792;O2.UC40-1_GL0136725;160400887-stool1_revised_C1384440_1_gene200294;V1.FI05_GL0050852;MH0406_GL0143415;763678604-stool2_revised_scaffold25139_1_gene59383;MH0188_GL0002585;MH0095_GL0012872;159753524-stool1_revised_C1030284_1_gene60349;765135172-stool1_revised_scaffold15331_1_gene32580;V1.UC55-0_GL0189227;O2.UC6-1_GL0146030;O2.UC48-0_GL0137620;508703490-stool1_revised_C543969_1_gene23923;V1.FI10_GL0098271;T2D-11A_GL0154465;O2.UC38-1_GL0068445;MH0092_GL0025175;V1.FI27_GL0175277;MH0446_GL0261960;SZEY-62A_GL0087361;V1.FI34_GL0170919;MH0197_GL0085109;O2.UC31-2_GL0000916;T2D-62A_GL0051873;MH0428_GL0002540;MH0053_GL0070244;V1.UC11-5_GL0152910;MH0382_GL0177384;MH0250_GL0075136;V1.FI10_GL0076882;MH0387_GL0029023;158337416-stool1_revised_C1169516_1_gene69185;T2D-156A_GL0003272;T2D-51A_GL0014235;MH0276_GL0065256;MH0200_GL0016841;V1.UC53-0_GL0077494;MH0102_GL0031028;V1.UC11-0_GL0002457;V1.UC50-1_GL0009654;MH0141_GL0024927;MH0424_GL0071048;V1.UC12-4_GL0133739;MH0203_GL0197307;MH0150_GL0053360;MH0203_GL0251432;MH0040_GL0052934;O2.UC19-1_GL0018016;V1.FI19_GL0067111;V1.FI19_GL0016917;V1.CD12-3_GL0029492;MH0260_GL0087684;764447348-stool2_revised_scaffold19243_1_gene84791;V1.CD40-0_GL0065071;V1.FI18_GL0023571;T2D-176A_GL0093967;MH0234_GL0175200;MH0447_GL0226819;MH0439_GL0077032;159207311-stool1_revised_C1076094_1_gene111821;V1.CD3-0-PN_GL0068187;MH0224_GL0189734;V1.UC8-0_GL0020476;O2.UC48-0_GL0128363;MH0318_GL0053602;MH0298_GL0027166;V1.UC21-4_GL0104387;T2D-113A_GL0037907;MH0250_GL0243586;MH0221_GL0007391;DOM026_GL0059834;765560005-stool1_revised_scaffold586_2_gene24788;O2.UC47-1_GL0195706;O2.UC36-0_GL0151284;MH0212_GL0120395;V1.CD29-0_GL0001554;764669880-stool1_revised_C416169_1_gene35458;V1.UC11-5_GL0091241;O2.UC41-1_GL0122910;O2.CD3-0-PT_GL0094785;MH0422_GL0023213;MH0370_GL0016352;MH0238_GL0169746;MH0229_GL0123766;765135172-stool1_revised_C772028_1_gene97610;V1.FI20_GL0144915;MH0424_GL0133884;T2D-59A_GL0070071;O2.UC19-2_GL0073196;MH0371_GL0155143;O2.UC40-1_GL0187450;NLM022_GL0094225;MH0403_GL0155937;MH0370_GL0100513;MH0428_GL0027238;764062976-stool1_revised_scaffold17435_2_gene73444;159166850-stool1_revised_C1013617_1_gene102238;V1.UC50-1_GL0147916;V1.UC47-4_GL0171971;MH0390_GL0027689;V1.UC24-0_GL0015996;MH0233_GL0058528;V1.UC11-5_GL0124329;O2.UC24-2_GL0089041;O2.UC13-1_GL0109822;MH0276_GL0242683;V1.CD51-0_GL0051082;O2.UC48-0_GL0015128;MH0435_GL0097340;O2.UC58-0_GL0134297;MH0453_GL0005840;MH0447_GL0289027;MH0318_GL0141107;764447348-stool2_revised_C747029_1_gene93550;O2.UC47-2_GL0088831;MH0440_GL0030687;MH0239_GL0006197;MH0052_GL0033165;ED10A_GL0104110;764062976-stool2_revised_C1041999_1_gene50840;O2.UC47-1_GL0061232;V1.CD3-0-PN_GL0102812;T2D-156A_GL0003291;MH0272_GL0234793;158499257-stool2_revised_C1269762_1_gene156603;159227541-stool3_revised_C708310_1_gene124117;MH0370_GL0134766;159207311-stool1_revised_C1112804_1_gene15742;V1.UC59-0_GL0182584;MH0257_GL0081441;MH0025_GL0034918;MH0012_GL0219915;764062976-stool1_revised_scaffold40628_1_gene145351;O2.UC21-1_GL0028224;158337416-stool1_revised_C1202728_1_gene89955;V1.CD3-0-PN_GL0041453;MH0402_GL0121044;V1.UC50-1_GL0104278;V1.UC13-0_GL0002343;MH0262_GL0097513;159268001-stool2_revised_scaffold19357_2_gene91172;V1.UC50-1_GL0194966;V1.UC26-4_GL0109456;MH0318_GL0177410;MH0448_GL0122566;MH0420_GL0046489;MH0250_GL0043171;MH0113_GL0099893;MH0012_GL0005983;MH0234_GL0101528;MH0197_GL0165405;763840445-stool2_revised_scaffold46228_1_gene145537;V1.UC55-0_GL0183615;O2.UC41-1_GL0183708;O2.UC29-1_GL0150566;158499257-stool2_revised_scaffold55428_1_gene198551;V1.FI17_GL0081592;763860675-stool1_revised_scaffold41477_1_gene75113;763840445-stool2_revised_C952505_1_gene38532;658655.HMPREF0988_00680;T2D-132A_GL0064303;MH0366_GL0002932;764447348-stool2_revised_scaffold19993_1_gene7609;158256496-stool1_revised_C936947_1_gene81991;O2.UC8-1_GL0143875;MH0189_GL0159838;O2.UC8-1_GL0071201;V1.CD54-0_GL0060608;V1.UC55-0_GL0027540;764062976-stool1_revised_C1280807_1_gene47156;V1.UC60-0_GL0050990;T2D-62A_GL0053011;T2D-29A_GL0049968;MH0101_GL0040934;V1.UC55-0_GL0039609;O2.CD3-0-PT_GL0098827;O2.UC36-1_GL0040408;O2.UC24-1_GL0116872;O2.UC5-2_GL0027963;MH0203_GL0167000;MH0070_GL0063689;V1.CD50-0_GL0049090;V1.CD3-0-PT_GL0067585;MH0329_GL0068806;160704339-stool1_revised_C1358997_1_gene67360;MH0370_GL0099769;MH0206_GL0096393;T2D-91A_GL0037302;MH0188_GL0174668;MH0369_GL0143969;MH0454_GL0108774;MH0370_GL0102337;MH0200_GL0040130;764649650-stool1_revised_scaffold10403_1_gene65717;MH0147_GL0135941;MH0101_GL0029012;MH0318_GL0059741;MH0060_GL0037222;V1.CD6-0-PT_GL0189492;O2.UC46-1_GL0115739;MH0326_GL0155188;V1.UC55-0_GL0159559;160704339-stool1_revised_C1366261_1_gene149242;MH0329_GL0141319;764588959-stool1_revised_scaffold37267_1_gene146582;MH0369_GL0035219;N037A_GL0090034;NOF008_GL0106066;T2D-31A_GL0042694;MH0402_GL0115586;158802708-stool1_revised_scaffold36893_1_gene57173;V1.FI14_GL0237991;V1.CD32-0_GL0126566;MH0197_GL0013774;MH0238_GL0005605;MH0372_GL0058892;O2.UC48-0_GL0167458;MH0239_GL0024144;V1.FI12_GL0050899;MH0363_GL0063700;V1.FI05_GL0110347;O2.UC41-1_GL0196584;DLM008_GL0007400;764002286-stool1_revised_C742435_1_gene120845;V1.UC40-1_GL0022314;158256496-stool1_revised_scaffold22843_1_gene109338;O2.UC1-2_GL0091851;MH0409_GL0099397;MH0390_GL0089365;MH0329_GL0072551;MH0451_GL0198062;T2D-91A_GL0052387;V1.UC31-4_GL0020020;MH0318_GL0005306;MH0012_GL0130239;V1.FI17_GL0167740;MH0385_GL0150079;MH0276_GL0236674;V1.UC11-5_GL0013116;MH0446_GL0201699;MH0276_GL0053999;MH0373_GL0024235;V1.FI17_GL0133175;MH0448_GL0082965;MH0343_GL0166756;764042746-stool2_revised_scaffold14095_1_gene2941;V1.UC60-0_GL0117674;O2.UC44-2_GL0186118;MH0448_GL0163718;MH0239_GL0015826;V1.FI32_GL0234224;N083A_GL0019510;HT25A_GL0098232;160704339-stool1_revised_scaffold32069_2_gene28787;N020A_GL0040303;O2.UC48-1_GL0121114;MH0128_GL0022778;V1.UC17-2_GL0063874;MH0309_GL0085992;V1.FI25_GL0127447;V1.UC58-4_GL0241173;O2.UC36-0_GL0131799;MH0188_GL0102074;V1.FI05_GL0145689;T2D-150A_GL0055324;MH0389_GL0008691;MH0189_GL0092853;V1.UC15-3_GL0055633;MH0453_GL0109170;MH0382_GL0069791;158944319-stool1_revised_scaffold22089_1_gene83076;V1.UC52-0_GL0171296;MH0262_GL0105585;MH0402_GL0184516;DLM019_GL0054541;159268001-stool1_revised_scaffold32540_1_gene120307;MH0206_GL0164122;MH0382_GL0005360;MH0329_GL0051338;MH0086_GL0051513;O2.UC54-2_GL0026661;MH0448_GL0062272;160704339-stool1_revised_scaffold29806_1_gene173723;MH0192_GL0069891;MH0313_GL0019918;O2.UC29-1_GL0037761;V1.CD6-0-PT_GL0056135;V1.FI14_GL0019080;765640925-stool1_revised_scaffold32500_1_gene43068;MH0281_GL0060049;MH0200_GL0120091;V1.FI07_GL0168165;V1.FI17_GL0216402;MH0203_GL0045150;765640925-stool1_revised_scaffold30229_5_gene41263;T2D-70A_GL0020947;O2.UC47-1_GL0175846;MH0409_GL0131853;MH0360_GL0145671;MH0286_GL0129208;MH0189_GL0069683;MH0130_GL0075551;537013.CLOSTMETH_03877;160765029-stool1_revised_scaffold19836_1_gene183428;O2.UC40-0_GL0110124;MH0408_GL0220516;MH0329_GL0035267;MH0252_GL0182956;MH0217_GL0133695;MH0144_GL0173399;MH0096_GL0040104;445972.ANACOL_01735;445971.ANASTE_01840;V1.FI25_GL0152700;V1.FI14_GL0097166;V1.CD6-0-PT_GL0111806;SZEY-20A_GL0048177;MH0434_GL0044978;MH0430_GL0096317;MH0412_GL0214902;MH0384_GL0064590;MH0322_GL0014245;MH0276_GL0020858;MH0140_GL0027817;MH0126_GL0066236;MH0096_GL0042874;MH0079_GL0032913;MH0006_GL0096664;HT14A_GL0035303;ED16A_GL0115765;158944319-stool1_revised_scaffold20967_1_gene114291;V1.UC58-4_GL0052256;V1.UC26-4_GL0036015;V1.UC22-1_GL0101338;V1.FI14_GL0200442;V1.FI05_GL0156737;V1.FI05_GL0044927;V1.CD43-0_GL0120785;V1.CD10-0_GL0036390;T2D-68A_GL0069214;T2D-31A_GL0095597;O2.UC48-0_GL0238005;O2.UC11-2_GL0040786;MH0457_GL0283106;MH0447_GL0153758;MH0447_GL0011419;MH0413_GL0113005;MH0307_GL0208406;MH0275_GL0151127;MH0229_GL0089708;MH0229_GL0004810;MH0197_GL0074462;MH0193_GL0101138;MH0188_GL0123509;MH0188_GL0109940;MH0183_GL0084840;MH0169_GL0116404;MH0148_GL0109698;MH0102_GL0081424;MH0092_GL0140375;MH0086_GL0117179;MH0053_GL0062869;MH0038_GL0000976;DLF014_GL0028307;765620695-stool1_revised_scaffold22870_2_gene47171;V1.FI14_GL0135946;V1.CD54-0_GL0004909;V1.CD15-3_GL0056041;T2D-83A_GL0073049;O2.UC7-1_GL0188374;O2.UC7-0_GL0010308;O2.UC3-1_GL0055874;O2.UC15-0_GL0111435;NOM026_GL0041943;MH0456_GL0070998;MH0447_GL0042236;MH0396_GL0157134;MH0377_GL0171555;MH0358_GL0021450;MH0346_GL0141831;MH0286_GL0121915;MH0277_GL0034785;MH0257_GL0003152;MH0203_GL0196101;MH0189_GL0143399;MH0189_GL0054930;764143897-stool1_revised_C924128_1_gene171258;737052003-stool1_revised_scaffold30482_1_gene50321;717608.CLS_18950;658659.HMPREF0983_01488;521095.Apar_1105;159268001-stool2_revised_scaffold539_1_gene111678;158944319-stool1_revised_scaffold20822_1_gene25622;V1.FI04_GL0093297;SZEY-81A_GL0041197;O2.UC32-1_GL0072552;NLM023_GL0075532;MH0444_GL0051712;MH0418_GL0176703;MH0415_GL0182445;MH0406_GL0174056;MH0364_GL0119824;MH0336_GL0017953;MH0336_GL0004978;MH0333_GL0051605;MH0250_GL0155094;MH0239_GL0121202;MH0239_GL0045504;MH0197_GL0088407;MH0193_GL0097256;MH0188_GL0053201;MH0176_GL0152058;MH0176_GL0040683;MH0104_GL0095745;BGI-15A_GL0068307;428126.CLOSPI_00345;O2.UC7-0_GL0157203;O2.UC20-1_GL0107448;MH0446_GL0266185;MH0370_GL0110160;MH0252_GL0106912;MH0250_GL0096851;MH0227_GL0075217;MH0087_GL0021890;V1.FI14_GL0099559;MH0338_GL0045948;MH0308_GL0158508;MH0303_GL0107124;MH0252_GL0062602;MH0149_GL0002006;764447348-stool2_revised_scaffold9465_2_gene5283;V1.UC39-4_GL0002038;V1.FI17_GL0219724;V1.FI04_GL0229416;V1.CD54-0_GL0028722;V1.CD17-4_GL0061870;SZEY-10A_GL0059395;NLM023_GL0006767;MH0189_GL0078839;MH0009_GL0049552;DOM005_GL0031481;DLF004_GL0033003;V1.UC54-0_GL0224289;V1.FI14_GL0013632;V1.CD16-0_GL0114485;NOM004_GL0052943;MH0433_GL0068888;MH0260_GL0024534;160603188-stool1_revised_scaffold23191_1_gene90764;V1.FI26_GL0054647;T2D-118A_GL0086832;O2.UC41-1_GL0210165;O2.UC20-1_GL0162214;NOF008_GL0077230;MH0443_GL0186870;MH0336_GL0102361;MH0230_GL0121087;MH0203_GL0237317;MH0193_GL0115577;MH0089_GL0032154;MH0012_GL0222609;469617.FUAG_00019;MH0149_GL0008991;MH0012_GL0215870;MH0011_GL0016296;469616.FMAG_00290;O2.UC19-1_GL0027703;MH0355_GL0084090;MH0205_GL0001579;445972.ANACOL_00237;N043A_GL0077005;MH0126_GL0102392;MH0012_GL0190491;585501.HMPREF6123_0384;V1.FI07_GL0182584;V1.CD3-0-PN_GL0102861;T2D-11A_GL0037715;MH0006_GL0158993;MH0399_GL0227366;MH0169_GL0138903;MH0366_GL0102099;MH0012_GL0102245;V1.FI36_GL0183622;MH0423_GL0010207;MH0362_GL0146943;159227541-stool2_revised_scaffold28853_1_gene158518;158499257-stool2_revised_scaffold64844_1_gene5605;MH0457_GL0200534;MH0402_GL0049466;MH0126_GL0104354;158499257-stool2_revised_scaffold15002_1_gene175584;158802708-stool1_revised_scaffold19620_2_gene115408;V1.FI14_GL0012504;V1.FI04_GL0128331;V1.CD43-0_GL0098839;MH0280_GL0057542;MH0275_GL0059552;N032A_GL0049658;MH0402_GL0110383;V1.UC48-0_GL0057566;MH0442_GL0083318;MH0119_GL0037699;O2.UC19-2_GL0048517;MH0262_GL0108758;MH0131_GL0030366;V1.FI14_GL0099184;O2.UC20-1_GL0062639;MH0262_GL0007968;MH0236_GL0088996;763901136-stool1_revised_scaffold34632_2_gene43584;V1.FI10_GL0064194;O2.UC12-1_GL0062217;O2.UC52-0_GL0070005;MH0005_GL0002660;908340.HMPREF9406_1499;O2.UC29-1_GL0107385;MH0220_GL0107237;MH0028_GL0079403;ED12A_GL0097604;MH0424_GL0173400;MH0206_GL0142247;MH0457_GL0265719;MH0268_GL0159271;MH0089_GL0093665;MH0348_GL0113401;MH0128_GL0068943;457398.HMPREF0326_01784;DLM019_GL0086612;MH0197_GL0177627;MH0002_GL0070301;MH0441_GL0069281;V1.UC11-5_GL0074712;V1.FI02_GL0089238;V1.FI18_GL0054452;MH0448_GL0067594;764224817-stool1_revised_scaffold10966_2_gene157205;O2.UC8-2_GL0070512;V1.CD31-0_GL0015752;MH0447_GL0084162	11	2	1	0.0	112721100	32379000	34191000	25050000	4236800	0	6685300	10179000	0	0				290
T2D-176A_GL0036215;160502038-stool1_revised_scaffold53228_2_gene111166;MH0284_GL0105740;O2.UC47-1_GL0150671;O2.UC36-0_GL0148940;V1.UC50-1_GL0091963;V1.CD36-0_GL0108075;V1.UC38-0_GL0069118;V1.FI17_GL0028601;V1.UC12-0_GL0004239;V1.FI14_GL0208361;V1.FI16_GL0212479;V1.FI13_GL0103606;BGI-33A_GL0004529;V1.UC31-0_GL0010350;T2D-31A_GL0093098;O2.UC9-0_GL0010324;O2.UC48-0_GL0234286;DLM013_GL0053130;DLM013_GL0028311;V1.FI06_GL0122795;V1.CD17-4_GL0077708	3	3	3	0.0	18494200	7594600	4779000	6120600	0	0	0	0	0	0				291
V1.FI13_GL0126057;HT25A_GL0105205;V1.FI22_GL0163053;V1.FI19_GL0122636;V1.CD31-0_GL0138718;V1.CD20-0_GL0063642;MH0393_GL0084526;V1.FI20_GL0207049;V1.FI17_GL0049569;V1.CD40-0_GL0200198;V1.CD36-0_GL0015847;V1.UC38-0_GL0065028;V1.UC17-2_GL0055349;V1.FI32_GL0129583;V1.CD41-0_GL0068615;MH0274_GL0155539;MH0131_GL0118147;DLM019_GL0033123;DLF009_GL0001440;DLM013_GL0034635;V1.CD54-0_GL0060712;O2.UC47-2_GL0105603;411903.COLAER_01712;160502038-stool1_revised_scaffold53525_3_gene31204;DLM001_GL0002395;ED14A_GL0056652;V1.CD27-0_GL0106474;O2.UC31-2_GL0120017;V1.FI25_GL0190740;V1.UC50-1_GL0171901;DLF013_GL0003039;T2D-109A_GL0108400;O2.UC36-0_GL0044632;MH0356_GL0023656;O2.UC50-0_GL0064134;O2.UC17-1_GL0028740;MH0188_GL0073432;N088A_GL0149876;V1.CD45-0_GL0166970;O2.UC30-0_GL0068080;O2.UC56-2_GL0056187;MH0328_GL0135466;O2.UC3-0_GL0151284;V1.UC4-5_GL0079690;160400887-stool1_revised_C1396610_1_gene212229;V1.UC48-0_GL0189933;O2.UC3-1_GL0037205;T2D-150A_GL0075671;V1.FI36_GL0178814;V1.UC57-0_GL0033109;HT8A_GL0092641;O2.CD3-0-PT_GL0105082;V1.UC26-0_GL0028461;O2.UC54-0_GL0052293	4	4	4	0.0	21792600	2709100	2807300	2241200	2872900	2577100	2653000	2838700	3093300	0				292
T2D-73A_GL0007674;V1.CD38-0_GL0058730;T2D-135A_GL0101954;MH0041_GL0006722;MH0003_GL0047201;160582958-stool1_revised_scaffold9029_1_gene15775;MH0239_GL0030395;MH0012_GL0198672;NOF010_GL0005345;N003A_GL0042799	5	5	5	0.0	237946000	0	0	0	36746000	42228000	37347000	38368000	38074000	45183000				293
160603188-stool1_revised_C902535_1_gene113729;MH0406_GL0041706;O2.UC48-0_GL0133431;MH0239_GL0123572	1	1	1	0.0	55292700	0	0	0	7804500	7674300	9268900	12341000	9177900	9026100				294
160603188-stool1_revised_C996377_1_gene124127;O2.UC48-0_GL0171267;MH0140_GL0020816	12	12	11	0.0	412339000	73312000	114120000	74410000	21177000	25179000	24566000	27596000	26417000	25562000				295
N020A_GL0115572;O2.UC27-0_GL0050521;764184357-stool1_revised_scaffold2723_1_gene30450;MH0451_GL0089125;160643649-stool1_revised_C579201_1_gene64836;O2.UC12-0_GL0016104;V1.CD9-0_GL0035633;SZEY-40A_GL0080659;MH0415_GL0105885;MH0410_GL0018515;MH0356_GL0086161;MH0292_GL0001928;MH0261_GL0046742;MH0149_GL0008901;MH0054_GL0056203;DLM013_GL0000063;MH0421_GL0054053;V1.FI36_GL0027230;N103A_GL0011073;V1.UC60-0_GL0056088;V1.UC40-1_GL0155960;MH0359_GL0017897;MH0211_GL0132382;MH0140_GL0046891;MH0101_GL0005395;764588959-stool1_revised_scaffold34049_1_gene167221;V1.CD37-4_GL0092088;V1.CD21-0_GL0041242;N089A_GL0009488;SZEY-103A_GL0008610;V1.FI20_GL0041561;T2D-187A_GL0100421;T2D-177A_GL0043322;MH0384_GL0094208;MH0408_GL0104023;158944319-stool1_revised_scaffold6033_1_gene108596;MH0173_GL0041632;MH0399_GL0252023;V1.CD54-0_GL0065461;MH0311_GL0064097;T2D-91A_GL0106237;O2.UC37-2_GL0120590;T2D-17A_GL0044164;MH0432_GL0133769	4	2	1	0.0	55089800	982900	1067900	1058300	8810000	8251400	5761000	6700000	9365300	13093000				296
160643649-stool1_revised_scaffold11161_1_gene52282;MH0012_GL0232564	12	12	10	0.0	260027000	21230000	16418000	24792000	33444000	33721000	30463000	31067000	36630000	32262000				297
V1.CD38-0_GL0059180;T2D-135A_GL0069537;160643649-stool1_revised_scaffold14631_1_gene63514;MH0267_GL0073843;MH0013_GL0018438;MH0227_GL0121659;MH0408_GL0207484;MH0037_GL0036769;159207311-stool1_revised_scaffold35941_1_gene172198;MH0314_GL0119319;MH0333_GL0080127;MH0239_GL0002436;V1.UC38-4_GL0060768;MH0101_GL0031719;MH0074_GL0067172;MH0012_GL0131888;DOM005_GL0032002;T2D-73A_GL0042721;NOF014_GL0048122;T2D-118A_GL0073546;MH0003_GL0091448;ED14A_GL0057754;MH0198_GL0166018;MH0179_GL0038977;MH0011_GL0049131;O2.UC24-2_GL0112143;V1.UC1-0_GL0010010;MH0224_GL0089564;MH0238_GL0025583;DLM020_GL0041762;MH0415_GL0132393;DLM020_GL0062394;O2.UC31-1_GL0158663;MH0192_GL0057025;MH0113_GL0064223;MH0046_GL0031953;MH0435_GL0113646;MH0351_GL0017061;MH0407_GL0183233;MH0314_GL0076319;V1.UC26-4_GL0145709;MH0243_GL0051692;MH0093_GL0077260;MH0126_GL0017902;MH0070_GL0038449;MH0069_GL0002065;T2D-135A_GL0117297;MH0002_GL0027608;O2.UC30-1_GL0140207;MH0137_GL0098909;T2D-110A_GL0079573;MH0407_GL0169396;MH0337_GL0092255;DOF007_GL0031538;DOM019_GL0043642;MH0047_GL0014975;MH0290_GL0026704;MH0243_GL0002355;MH0050_GL0065560;MH0041_GL0031709;MH0189_GL0031849;158499257-stool2_revised_scaffold46734_1_gene6851;V1.UC41-0_GL0008225	8	2	0	0.0	30800200	1567100	1426400	1891600	4535900	5009200	4245400	4765500	3900000	3459100				298
160704339-stool1_revised_C1393037_1_gene48442;MH0097_GL0104556	5	1	1	0.0	42835900	2904400	0	3144800	4704200	5795800	5813700	6062700	7439800	6970500				299
160704339-stool1_revised_C1400627_1_gene160110;SZEY-39A_GL0064062;O2.UC36-0_GL0030244;MH0229_GL0055385;V1.CD31-0_GL0110040;V1.UC15-3_GL0002623;O2.UC26-0_GL0040112;V1.FI13_GL0118618;V1.UC38-0_GL0118357;V1.CD2-0-PN_GL0077671;521095.Apar_0321	6	6	2	0.0	270473200	70695000	77815000	74439000	9267600	6480600	9980800	8354600	7355300	6085300				300
DOM019_GL0017396;MH0016_GL0001337;160765029-stool1_revised_scaffold21574_1_gene29831;MH0274_GL0144358;160704339-stool1_revised_C1412673_1_gene3446;T2D-15A_GL0016339;N020A_GL0063634;V1.UC1-0_GL0104633;O2.UC54-0_GL0005800;ED16A_GL0058458;V1.CD20-4_GL0014056;MH0002_GL0035571;V1.CD38-0_GL0088922;MH0328_GL0078387;MH0148_GL0078862;MH0013_GL0028858;MH0003_GL0067655;MH0125_GL0020619;MH0229_GL0126589	2	2	2	0.0	39841600	2941200	2896000	0	4321300	6197500	6032800	4729800	12723000	0				301
