Protein IDs	Peptides	Razor + unique peptides	Unique peptides	Score	Intensity	LFQ intensity KES1	LFQ intensity KES2	LFQ intensity KES3	LFQ intensity PBS1	LFQ intensity PBS2	LFQ intensity PBS3	LFQ intensity W1	LFQ intensity W2	LFQ intensity W3	Only identified by site	Reverse	Potential contaminant	id
MH0275_GL0133818;DLM003_GL0033735;158256496-stool1_revised_scaffold7236_1_gene42729;MH0267_GL0010369;MH0094_GL0083876;160178356-stool1_revised_scaffold16556_1_2_gene90553;763577454-stool1_revised_scaffold45095_1_gene55816;V1.CD38-0_GL0154339;MH0158_GL0077590;T2D-135A_GL0078199;N043A_GL0063224;MH0113_GL0057469;N066A_GL0046727;T2D-48A_GL0023793;T2D-8A_GL0055232;T2D-73A_GL0042690;MH0126_GL0041608;MH0070_GL0002160;NLM024_GL0027917;NOM023_GL0046839;NOF010_GL0087324;MH0274_GL0175310;MH0140_GL0110160;V1.UC41-0_GL0094582;MH0052_GL0031067;O2.UC1-1_GL0081289;MH0050_GL0065043;MH0006_GL0087850;MH0435_GL0140965;MH0079_GL0054817;NOF013_GL0042231;V1.CD36-0_GL0161108;MH0405_GL0085777;MH0069_GL0091199;MH0321_GL0092261;MH0281_GL0129757;MH0265_GL0144713;MH0004_GL0030317;T2D-135A_GL0015129;MH0055_GL0041524;MH0046_GL0011170;MH0051_GL0050191;SZEY-101A_GL0016310;MH0192_GL0117987;MH0415_GL0009788;MH0407_GL0120784;667015.Bacsa_0104;MH0401_GL0119302;MH0189_GL0102748;ED13A_GL0058984;O2.CD2-0_GL0054434;T2D-113A_GL0104833;T2D-47A_GL0134894;DOM014_GL0044392;V1.UC58-4_GL0242358;T2D-110A_GL0078327;NLM023_GL0063879;O2.UC50-0_GL0049206;V1.CD27-0_GL0091282;MH0270_GL0121102;MH0239_GL0174839;763597684-stool1_revised_C1135822_1_gene73457;V1.CD15-3_GL0070636;MH0037_GL0045402;764588959-stool1_revised_scaffold6338_2_gene134578;158458797-stool1_revised_scaffold32432_2_gene118594;O2.UC24-2_GL0004208;MH0336_GL0043006;MH0438_GL0172818;MH0012_GL0186463;MH0006_GL0008571;160765029-stool1_revised_scaffold4268_1_gene159639;V1.CD3-3-PN_GL0010745;MH0309_GL0004465;MH0124_GL0125476;MH0050_GL0037863;MH0274_GL0017905;MH0101_GL0004406;MH0036_GL0012469;MH0187_GL0000207;MH0163_GL0087615;MH0092_GL0035452;SZEY-10A_GL0013425;469589.HMPREF0103_3919;O2.CD2-0_GL0077487;V1.UC42-0_GL0081568;MH0067_GL0014919;679189.HMPREF9019_2055;MH0252_GL0251782;V1.CD52-0_GL0188555;MH0441_GL0021325;V1.CD31-0_GL0031997;MH0328_GL0083032;159571453-stool1_revised_C695464_1_gene75486;T2D-51A_GL0008156;N038A_GL0101391;T2D-45A_GL0024862;T2D-22A_GL0021059;MH0181_GL0105174;MH0243_GL0046342;MH0243_GL0017534;MH0260_GL0118623;MH0222_GL0117826;MH0200_GL0056165;MH0096_GL0035493;MH0014_GL0074199;MH0400_GL0147300;MH0097_GL0102949;O2.UC16-1_GL0089834;MH0107_GL0038400;MH0011_GL0039532;MH0455_GL0033600;MH0453_GL0059783;MH0283_GL0026740;T2D-29A_GL0075368;764487809-stool1_revised_scaffold13640_1_gene4959;159207311-stool2_revised_scaffold29218_1_gene179820;MH0057_GL0029020;MH0106_GL0005052;MH0055_GL0031721;MH0283_GL0062578;MH0163_GL0071665;MH0006_GL0078165;O2.UC43-0_GL0086867;MH0426_GL0165975;MH0172_GL0093494;MH0012_GL0022644;MH0427_GL0068882;MH0165_GL0131174;MH0069_GL0011389;MH0011_GL0057793;MH0006_GL0014122;MH0323_GL0097121;MH0337_GL0044882;MH0224_GL0035048;MH0211_GL0150905;V1.FI17_GL0162095;158499257-stool2_revised_scaffold61857_1_gene51071;T2D-70A_GL0072147;MH0185_GL0049273;MH0118_GL0125244;O2.CD3-0-PT_GL0098433;O2.UC31-1_GL0149569;MH0243_GL0004618;MH0006_GL0116095;V1.FI07_GL0126287;V1.CD6-0-PN_GL0063017;MH0192_GL0172264;159632143-stool1_revised_scaffold4750_2_gene70219;MH0244_GL0006144;158802708-stool2_revised_scaffold20902_1_gene50061;T2D-108A_GL0053888;MH0057_GL0024819;MH0152_GL0042377;T2D-63A_GL0007888;MH0107_GL0072485;MH0144_GL0066604;MH0447_GL0149816;MH0431_GL0186579;MH0196_GL0091296;MH0244_GL0086772;MH0005_GL0007546;MH0103_GL0096234;763678604-stool2_revised_C1046628_1_gene136867;O2.UC47-0_GL0053038;O2.UC31-2_GL0054344;160400887-stool1_revised_C1448026_1_gene87214;MH0096_GL0016518;MH0021_GL0056258	14	14	1	0.0	343907000	44653000	39707000	56870000	32230000	35774000	32554000	36366000	33335000	32418000				14
MH0345_GL0148503;N037A_GL0115512;T2D-26A_GL0147453;MH0260_GL0069246;MH0059_GL0079288;159207311-stool1_revised_scaffold14006_1_gene46173;158256496-stool1_revised_scaffold7318_1_gene130952;MH0211_GL0100860;MH0188_GL0072033;O2.UC28-1_GL0196848;T2D-13A_GL0067525;158499257-stool2_revised_scaffold63266_1_gene92387;O2.UC27-1_GL0069003;V1.FI33_GL0126449;O2.CD3-0-PT_GL0090948;MH0193_GL0066199;MH0012_GL0143198;O2.UC48-0_GL0117473;MH0088_GL0125087;T2D-61A_GL0012688;MH0372_GL0076810;MH0358_GL0114037;MH0318_GL0009306;MH0221_GL0007650;457421.CBFG_05473;MH0131_GL0005459;V1.FI33_GL0034264;MH0059_GL0017144;160765029-stool1_revised_C1057998_1_gene4524;V1.CD54-0_GL0103320;MH0402_GL0095468;MH0149_GL0100954;553973.CLOHYLEM_06021;MH0264_GL0027479;V1.UC24-0_GL0050297;MH0050_GL0036540;V1.FI13_GL0089807;O2.CD3-0-PT_GL0000221;T2D-31A_GL0056163	10	1	0	0.0	11129740	1991200	2909700	1776500	1842400	0	0	665140	0	1944800				15
V1.UC47-4_GL0016067;O2.UC12-2_GL0058845;158337416-stool1_revised_C1160258_1_gene172477;MH0355_GL0045970;MH0288_GL0070356;MH0001_GL0016172;NLF002_GL0044574;763577454-stool2_revised_scaffold35252_1_gene51175;V1.FI08_GL0153393;MH0408_GL0012230;MH0100_GL0100268;O2.UC59-0_GL0032417;O2.CD1-0-PT_GL0033754;T2D-62A_GL0035417;V1.UC27-0_GL0087559;V1.UC50-1_GL0117015;V1.FI34_GL0018231;764588959-stool1_revised_C729528_1_gene82649;V1.UC50-1_GL0122384;MH0193_GL0160977;MH0143_GL0110631	5	5	4	0.0	206852400	0	0	5425400	49177000	26040000	29403000	25050000	29238000	42519000				16
V1.CD51-0_GL0134535;MH0011_GL0085061;MH0355_GL0179429;V1.UC47-4_GL0098093;N034A_GL0036234;MH0116_GL0101861;T2D-133A_GL0071811;T2D-12A_GL0000294;NOM018_GL0028349;MH0276_GL0230074;MH0023_GL0008136;T2D-49A_GL0054826;MH0200_GL0009220;MH0275_GL0011781;V1.UC25-0_GL0023387;MH0345_GL0082051;NOM014_GL0050600;NLM031_GL0085659;MH0377_GL0097244;158337416-stool1_revised_C1181332_1_gene192255;O2.UC12-1_GL0012809	1	1	1	0.0	18818890	0	783290	0	3756800	3370200	3067700	2288400	2014000	3538500				17
158337416-stool1_revised_C1215510_1_gene185151;MH0150_GL0085702;MH0370_GL0002666;MH0212_GL0158231;V1.UC30-0_GL0045869;V1.CD7-0-PN_GL0024024;V1.CD15-3_GL0070205;T2D-62A_GL0054178;DOF012_GL0020564;765620695-stool1_revised_C754561_1_gene144635	7	7	7	0.0	106662300	56905000	16060000	28382000	3306600	2008700	0	0	0	0				18
158337416-stool1_revised_C1221606_1_gene177543;O2.UC17-1_GL0127088;158337416-stool2_revised_C930705_1_gene160856;MH0430_GL0146492;MH0313_GL0082020;MH0189_GL0131245;V1.FI22_GL0093034	17	1	1	0.0	49619000	18210000	16534000	14875000	0	0	0	0	0	0				19
158337416-stool1_revised_C1229196_1_gene175059	18	6	0	0.0	442688000	0	0	0	75360000	67933000	77944000	81827000	53718000	85906000				20
158337416-stool1_revised_C1237960_1_gene210052	5	1	0	0.0	33054900	0	0	0	5142500	5929500	5181600	5924600	5206100	5670600				21
158337416-stool1_revised_C1243638_1_gene46231	1	1	1	0.0	19815800	3964000	0	4814000	0	0	0	5385500	3863700	1788600				22
158337416-stool1_revised_C1274042_1_gene15181	4	1	1	0.0	18236100	8184700	3778100	6273300	0	0	0	0	0	0				23
